round_epochs,loss,mean_absolute_error,r_squared,val_loss,val_mean_absolute_error,val_r_squared,activation1,activation2,batch_size,dropout,epochs,loss,neurons1,neurons2,optimizer
11,1.099391802576662,1.0993917,0.8909155,0.5576128792816576,0.5576129,0.97518736,None,None,128,0.30000000000000004,20,mae,64,32,Adam
7,4.752965093568991,1.6257557,0.6878394,0.33541358983812697,0.4823793,0.9747354,<function relu at 0x7f3bd80497a0>,<function linear at 0x7f3bd8049a70>,8,0.4,20,mse,128,32,RMSprop
11,1.7835156653673594,1.7835156,0.71213937,0.6117222470569826,0.61172223,0.97039807,<function relu at 0x7f3bd80497a0>,<function linear at 0x7f3bd8049a70>,128,0.4,46,mae,32,32,Adam
8,1.4225631035719006,0.89607126,0.9051767,2.7010705627114184,1.5322493,0.78987616,None,None,8,0.2,46,mse,256,64,RMSprop
20,1.6252958745244603,0.9553527,0.9162361,1.017435360304658,0.95044065,0.9411056,<function relu at 0x7f3bd80497a0>,<function linear at 0x7f3bd8049a70>,128,0.30000000000000004,72,mse,64,128,RMSprop
15,1.150022837951893,0.7909038,0.9386522,0.4374750274702335,0.5725043,0.9730974,None,<function linear at 0x7f3bd8049a70>,32,0.2,98,mse,256,64,SGD
29,0.7818333926698331,0.7818334,0.92596334,0.6593946167362463,0.65939456,0.95781505,None,<function linear at 0x7f3bd8049a70>,8,0.30000000000000004,124,mae,256,64,SGD
3,0.8993282345920625,0.8993278,0.9068235,0.6994635223265965,0.6994634,0.94937974,None,None,8,0.30000000000000004,20,mae,32,128,RMSprop
8,1.2151319806711263,0.822493,0.916866,2.0057723239636043,1.3243343,0.8603748,None,<function linear at 0x7f3bd8049a70>,8,0.4,46,mse,128,128,SGD
3,1.5187274058862092,0.9322056,0.91488266,1.3765613316951433,1.100478,0.9050645,None,<function linear at 0x7f3bd8049a70>,16,0.5,20,mse,32,256,RMSprop
18,1.1019074828873456,1.1019075,0.891981,0.31940525312725093,0.31940523,0.9903136,<function relu at 0x7f3bd80497a0>,<function linear at 0x7f3bd8049a70>,128,0.30000000000000004,72,mae,128,64,Adam
7,0.675769499366419,0.6757696,0.9475307,0.35893427081086565,0.35893425,0.98734015,None,None,16,0.1,46,mae,256,256,SGD
8,1.3317916538373609,0.8620335,0.92639035,0.6266996166910598,0.7134868,0.9605751,<function relu at 0x7f3bd80497a0>,None,16,0.1,46,mse,32,32,SGD
5,2.0658360956279376,1.0927627,0.8155132,0.5097858562695523,0.586216,0.9635763,<function relu at 0x7f3bd80497a0>,None,8,0.4,20,mse,32,128,RMSprop
7,1.42551133094752,0.8990762,0.9261609,0.6392790402031375,0.693683,0.96131766,<function relu at 0x7f3bd80497a0>,<function linear at 0x7f3bd8049a70>,64,0.30000000000000004,20,mse,32,256,SGD
13,0.9419211212662543,0.69874007,0.939651,0.5291062714553041,0.6458573,0.95849055,None,<function linear at 0x7f3bd8049a70>,8,0.2,124,mse,256,256,SGD
36,0.8857996297448848,0.88579965,0.92872334,0.7124317650332139,0.7124318,0.9637303,<function relu at 0x7f3bd80497a0>,None,64,0.30000000000000004,98,mae,256,256,RMSprop
31,1.5800580989515711,0.9409469,0.9179173,0.151992370157963,0.31624794,0.99090475,None,None,64,0.5,98,mse,32,128,Adam
6,1.1220213184930996,0.78064495,0.9410354,0.2666910212344025,0.41400778,0.98399776,None,None,32,0.30000000000000004,46,mse,32,256,SGD
39,1.074443286712944,0.7736198,0.9293342,0.4196189491931795,0.56816465,0.96682405,None,None,8,0.1,124,mse,256,32,Adam
19,0.9689581833141552,0.701962,0.93836504,0.39565833656298116,0.53371954,0.97129184,None,None,8,0.30000000000000004,72,mse,128,256,SGD
24,0.9980114988091641,0.725216,0.94365096,0.1534241164611909,0.30759478,0.98941433,None,<function linear at 0x7f3bd8049a70>,16,0.2,124,mse,64,256,RMSprop
25,1.365956494826397,0.8766747,0.9287165,0.1447612422919973,0.3011184,0.9912998,None,None,64,0.4,98,mse,256,256,RMSprop
6,1.2389760170451052,0.8331816,0.92190397,0.29110948336951886,0.45898992,0.97827226,<function relu at 0x7f3bd80497a0>,None,8,0.1,46,mse,256,128,RMSprop
13,1.0183880780084948,1.0183882,0.9055474,0.5500057137173939,0.5500057,0.9734496,<function relu at 0x7f3bd80497a0>,<function linear at 0x7f3bd8049a70>,64,0.2,46,mae,64,128,SGD
13,1.8565051098614047,1.8565049,0.6769321,0.30335405549669375,0.30335405,0.99156713,<function relu at 0x7f3bd80497a0>,<function linear at 0x7f3bd8049a70>,128,0.5,98,mae,256,32,RMSprop
40,1.1154337644172585,1.1154337,0.8841028,0.8461122183175442,0.84611225,0.9486446,<function relu at 0x7f3bd80497a0>,None,64,0.5,124,mae,128,128,SGD
18,4.80845206101331,1.6339332,0.75268227,0.29158040605334073,0.4534819,0.98213357,<function relu at 0x7f3bd80497a0>,None,128,0.4,72,mse,128,32,RMSprop
4,1.8906486465124077,1.0390451,0.89955264,0.3462817960883371,0.46150497,0.9781056,<function relu at 0x7f3bd80497a0>,<function linear at 0x7f3bd8049a70>,32,0.5,20,mse,32,256,Adam
29,1.1592514924420656,1.1592516,0.875667,0.8011078597729685,0.80110794,0.9505438,None,None,64,0.4,98,mae,256,32,SGD
23,1.1108846051446253,0.7858967,0.9384456,0.32766003375263303,0.4969643,0.9788941,None,<function linear at 0x7f3bd8049a70>,16,0.2,124,mse,256,128,RMSprop
24,1.340241599325612,0.86222947,0.93159705,0.2256228190176105,0.3771376,0.9862082,<function relu at 0x7f3bd80497a0>,None,128,0.2,98,mse,32,128,RMSprop
10,0.7674623227301445,0.7674624,0.9359102,0.3331588051927278,0.3331588,0.98783463,<function relu at 0x7f3bd80497a0>,<function linear at 0x7f3bd8049a70>,16,0.2,72,mae,256,256,Adam
23,1.1444239656332693,0.78194195,0.9360069,1.1696510565200187,1.0194819,0.9236269,None,None,16,0.5,98,mse,128,128,SGD
