round_epochs,loss,mean_absolute_error,r_squared,val_loss,val_mean_absolute_error,val_r_squared,activation1,activation2,batch_size,dropout,epochs,loss,neurons1,neurons2,optimizer
14,2.8424125196976213,1.2880266,0.8484184,0.21097740187870997,0.3671187,0.9867536,<function relu at 0x7f3bd80497a0>,<function linear at 0x7f3bd8049a70>,32,0.5,98,mse,256,128,Adam
30,1.2981996965974545,0.8391908,0.93288636,0.46394300218629514,0.60611904,0.97182083,<function relu at 0x7f3bd80497a0>,None,64,0.4,98,mse,64,256,SGD
9,0.7767622792892682,0.77676207,0.93185604,0.9550898435691678,0.95508975,0.9089125,None,None,8,0.30000000000000004,72,mae,256,256,Adam
35,0.9367703262075112,0.6834994,0.9469288,0.1551426410103221,0.32090962,0.99022895,None,None,16,0.1,98,mse,32,128,RMSprop
33,1.2011479779863075,0.8258854,0.92078483,1.1184933847552228,0.99429214,0.91453505,<function relu at 0x7f3bd80497a0>,<function linear at 0x7f3bd8049a70>,8,0.1,124,mse,256,64,RMSprop
37,2.066201303953635,1.0881737,0.8935344,0.3899859967673067,0.5287236,0.9766446,<function relu at 0x7f3bd80497a0>,<function linear at 0x7f3bd8049a70>,128,0.30000000000000004,124,mse,32,64,RMSprop
13,1.901828510868438,1.0405129,0.89833593,0.7794924004352389,0.81533945,0.95140463,<function relu at 0x7f3bd80497a0>,None,32,0.5,46,mse,256,256,RMSprop
17,1.038197381704717,1.0381974,0.9013403,0.5853746962601122,0.5853748,0.9697199,<function relu at 0x7f3bd80497a0>,None,64,0.2,46,mae,64,64,SGD
20,0.9858582270559969,0.9858584,0.9109853,0.7170664751502784,0.7170665,0.96252835,<function relu at 0x7f3bd80497a0>,<function linear at 0x7f3bd8049a70>,32,0.5,72,mae,256,256,Adam
21,3.7026829468789395,1.463827,0.8092373,2.0563831057559288,1.3808068,0.8781515,<function relu at 0x7f3bd80497a0>,<function linear at 0x7f3bd8049a70>,128,0.30000000000000004,98,mse,256,32,RMSprop
26,1.1579417829497372,1.1579418,0.8782926,0.5350993088621049,0.53509927,0.97556466,<function relu at 0x7f3bd80497a0>,<function linear at 0x7f3bd8049a70>,64,0.5,46,mae,32,128,Adam
3,0.9725712392671924,0.97257125,0.9154112,0.766004961715595,0.766005,0.9509395,None,<function linear at 0x7f3bd8049a70>,64,0.4,20,mae,128,256,RMSprop
10,1.0634784007901554,1.0634785,0.8932862,0.3772607488099393,0.37726074,0.9867293,<function relu at 0x7f3bd80497a0>,<function linear at 0x7f3bd8049a70>,32,0.4,20,mae,32,128,Adam
77,0.6940527831830646,0.6940527,0.95152324,0.39172870458921516,0.3917287,0.9861998,<function relu at 0x7f3bd80497a0>,<function linear at 0x7f3bd8049a70>,128,0.1,98,mae,32,256,SGD
