round_epochs,loss,mean_absolute_error,r_squared,val_loss,val_mean_absolute_error,val_r_squared,activation1,activation2,batch_size,dropout,epochs,loss,neurons1,neurons2,optimizer
5,1.8234069631502121,1.0214657,0.89718515,1.3759357592860408,1.1081276,0.9109412,<function relu at 0x7f85eb4d27a0>,<function linear at 0x7f85eb4d2a70>,16,0.2,20,mse,64,32,SGD
4,1.1026172427629595,1.1026176,0.8587638,0.30911533349523695,0.30911535,0.9899086,<function relu at 0x7f85eb4d27a0>,<function linear at 0x7f85eb4d2a70>,8,0.4,20,mae,64,128,Adam
4,0.8330301182870646,0.8330301,0.91669333,1.1795828198471672,1.179583,0.86979586,None,None,8,0.2,20,mae,32,128,RMSprop
13,0.8923667005505777,0.8923666,0.9283064,0.8509550211661018,0.85095507,0.94156253,<function relu at 0x7f85eb4d27a0>,<function linear at 0x7f85eb4d2a70>,64,0.2,46,mae,128,256,RMSprop
3,1.4263756287310263,0.90654624,0.9047458,0.7797943339525443,0.80656046,0.93955046,None,None,8,0.1,20,mse,256,64,RMSprop
16,1.0234141812373057,0.7331894,0.94416016,0.31305207389472034,0.4467971,0.97999483,<function relu at 0x7f85eb4d27a0>,<function linear at 0x7f85eb4d2a70>,32,0.2,98,mse,64,256,Adam
14,1.117018318244519,0.78700244,0.92842615,0.22774844448466872,0.37295285,0.9825434,<function relu at 0x7f85eb4d27a0>,None,8,0.1,124,mse,128,128,RMSprop
8,1.5571293912771094,0.94603705,0.9054044,1.843514556809419,1.2897509,0.8768652,None,<function linear at 0x7f85eb4d2a70>,16,0.4,46,mse,128,128,RMSprop
18,1.1300680024124385,0.78300565,0.94071096,0.22486092685038564,0.38493338,0.98556155,None,<function linear at 0x7f85eb4d2a70>,32,0.30000000000000004,46,mse,64,128,Adam
17,1.0120230801940673,1.0120231,0.89724535,0.5066394482320911,0.5066394,0.9760092,<function relu at 0x7f85eb4d27a0>,None,16,0.30000000000000004,72,mae,128,64,SGD
8,1.0968014446227,0.7594045,0.94212043,0.43141891576904745,0.56764245,0.9743456,None,None,64,0.30000000000000004,46,mse,128,256,SGD
28,1.3455779355294226,1.3455777,0.8302366,0.33563078539635205,0.3356308,0.9898118,<function relu at 0x7f85eb4d27a0>,None,64,0.30000000000000004,98,mae,64,32,RMSprop
24,0.8939095379640937,0.66766524,0.95336246,0.14832143569638445,0.30334634,0.9910341,None,None,64,0.2,124,mse,128,256,Adam
8,3.5927509784294043,1.4057584,0.8048348,1.5044281719500538,1.1614624,0.90849036,None,None,32,0.5,20,mse,32,32,RMSprop
43,0.9805771171086112,0.71308094,0.94925517,0.19261837577443092,0.35470313,0.98832,None,None,128,0.1,72,mse,64,64,Adam
17,2.0102680736522336,1.082673,0.89617175,0.2989811210411666,0.4574496,0.9822213,<function relu at 0x7f85eb4d27a0>,<function linear at 0x7f85eb4d2a70>,64,0.5,98,mse,256,256,RMSprop
34,1.0077096955871259,0.7335609,0.93348676,0.34157042487883943,0.488623,0.9738602,<function relu at 0x7f85eb4d27a0>,None,8,0.2,124,mse,128,256,RMSprop
22,1.2463000681159655,1.2463,0.82099557,0.4593368631453331,0.45933688,0.9754204,<function relu at 0x7f85eb4d27a0>,<function linear at 0x7f85eb4d2a70>,8,0.5,124,mae,128,32,SGD
18,1.6546637138337579,0.98050934,0.8978723,0.34772433922468404,0.49297845,0.9778572,<function relu at 0x7f85eb4d27a0>,None,16,0.5,98,mse,64,256,Adam
19,1.2676820635694483,1.267682,0.8519499,0.5844399292635863,0.58443993,0.9708921,None,None,64,0.4,72,mae,128,32,SGD
29,2.3126477516738917,1.1345551,0.8501731,1.0120765958359763,0.95068634,0.92395246,<function relu at 0x7f85eb4d27a0>,<function linear at 0x7f85eb4d2a70>,8,0.2,124,mse,64,32,RMSprop
39,0.968469772933397,0.7085551,0.949128,0.1517543042957379,0.31440368,0.99100614,None,<function linear at 0x7f85eb4d2a70>,128,0.1,98,mse,128,64,Adam
13,0.8250330713869051,0.8250331,0.9185551,0.3019640726241247,0.3019641,0.9595707,None,None,8,0.2,46,mae,32,64,Adam
15,0.8885098158352652,0.88850975,0.9252928,0.5351139325858777,0.5351139,0.97541064,None,<function linear at 0x7f85eb4d2a70>,32,0.30000000000000004,46,mae,32,64,Adam
7,0.850787321119818,0.8507873,0.9065059,0.9870303640516294,0.9870304,0.9303827,None,None,16,0.30000000000000004,46,mae,32,128,RMSprop
40,0.7614207488182139,0.76142085,0.9240811,0.7060556717166513,0.7060557,0.9513957,None,<function linear at 0x7f85eb4d2a70>,8,0.2,98,mae,64,64,Adam
21,1.3639514649490667,0.8631602,0.910766,0.45936994775961537,0.5878413,0.96209586,<function relu at 0x7f85eb4d27a0>,None,8,0.5,72,mse,256,128,SGD
