round_epochs,loss,mean_absolute_error,r_squared,val_loss,val_mean_absolute_error,val_r_squared,activation1,activation2,batch_size,dropout,epochs,loss,neurons1,neurons2,optimizer
4,6.426196726021674,1.9033296,0.4825566,4.191310701736209,1.9727026,0.6299928,<function relu at 0x7f135031a7a0>,<function linear at 0x7f135031aa70>,8,0.5,20,mse,256,32,RMSprop
13,0.9638734762702987,0.9638735,0.9219928,0.8762317794978484,0.8762318,0.9391663,None,None,128,0.1,84,mae,256,128,RMSprop
3,1.3162207335511742,1.3162211,0.7961807,0.3588208576357392,0.35882086,0.98505485,<function relu at 0x7f135031a7a0>,None,8,0.4,20,mae,32,64,Adam
19,0.8572813995921885,0.85728127,0.93095315,0.3576422814725484,0.35764226,0.98780835,None,None,32,0.4,68,mae,64,128,SGD
6,3.38167630807134,1.3989797,0.82127255,0.24996755909569915,0.41361663,0.98459333,None,<function linear at 0x7f135031aa70>,32,0.5,20,mse,32,32,RMSprop
9,4.311258211188441,1.5397285,0.70886135,1.2706075715695762,1.0669136,0.90170866,<function relu at 0x7f135031a7a0>,<function linear at 0x7f135031aa70>,8,0.5,84,mse,256,64,RMSprop
3,1.3938663894084675,0.89745927,0.9258273,1.1881354471361665,1.0115719,0.9286357,None,None,32,0.2,20,mse,64,256,RMSprop
6,1.6202508977553518,0.9787584,0.91590416,1.4850289403181314,1.0637202,0.91214556,None,<function linear at 0x7f135031aa70>,64,0.30000000000000004,20,mse,128,128,RMSprop
4,1.4674399034060899,0.90457076,0.9002687,0.4128666227477399,0.5579734,0.96719587,None,None,8,0.2,36,mse,128,32,SGD
7,1.559031433933766,1.5590315,0.76530033,0.3419840530940157,0.34198403,0.9896107,<function relu at 0x7f135031a7a0>,<function linear at 0x7f135031aa70>,32,0.4,36,mae,64,32,Adam
