round_epochs,loss,PR_AUC,val_loss,val_PR_AUC,activation1,activation2,batch_size,dropout1,dropout2,epochs,losses,neurons1,neurons2,optimizer
26,0.013389736383301515,0.0021694873,0.012572001724308727,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,4096,0.1,0.5,26,<function binary_crossentropy at 0x7f7b088b0e60>,8,128,SGD
34,0.0009878588654885934,0.0018886756,0.0008288640838884024,0.12780617,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,2048,0.5,0.5,34,<function logcosh at 0x7f7b088b0cb0>,128,128,SGD
5,0.004159650253021644,0.7070768,0.004382354536081338,0.6653407,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,16,0.2,0.2,18,<function binary_crossentropy at 0x7f7b088b0e60>,64,32,Adam
26,0.004727599381731437,0.6573775,0.004922803924375441,0.6443794,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,2048,0.30000000000000004,0.1,42,<function binary_crossentropy at 0x7f7b088b0e60>,64,128,RMSprop
2,0.0007486013782935417,0.0017705743,0.0007504100226302418,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,128,0.2,0.4,10,<function logcosh at 0x7f7b088b0cb0>,32,128,Adam
34,0.0011178383006388796,0.0020385992,0.0009822256509316445,0.18405992,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,2048,0.1,0.30000000000000004,34,<function logcosh at 0x7f7b088b0cb0>,64,64,SGD
18,0.000765227938247998,0.0020862566,0.0007513782842798253,0.12452274,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,64,0.30000000000000004,0.1,18,<function logcosh at 0x7f7b088b0cb0>,128,32,SGD
18,0.010830195854930141,0.36995283,0.010987664664148774,0.32378352,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,32,0.30000000000000004,0.4,18,<function binary_crossentropy at 0x7f7b088b0e60>,16,16,SGD
34,0.0014458820006094516,0.37870657,0.0014235920023388084,0.414962,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,1024,0.5,0.5,34,<function logcosh at 0x7f7b088b0cb0>,16,8,SGD
10,0.0007855667041390832,0.002977971,0.0007676139777630703,0.23922849,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,128,0.1,0.2,10,<function logcosh at 0x7f7b088b0cb0>,128,64,SGD
9,0.02898841022797689,0.007872491,0.022564739108011062,0.117294036,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,16,0.5,0.2,34,<function binary_crossentropy at 0x7f7b088b0e60>,32,64,RMSprop
7,0.0007107857184158383,0.35363102,0.0007356641632918727,0.25705338,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,16,0.2,0.2,26,<function logcosh at 0x7f7b088b0cb0>,32,64,RMSprop
42,0.008032672599653167,0.70144135,0.008364580290754856,0.65148985,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,16,0.1,0.5,42,<function binary_crossentropy at 0x7f7b088b0e60>,128,32,SGD
26,0.000846802956591126,0.0022795445,0.0007738737037658294,0.18514599,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,2048,0.2,0.30000000000000004,26,<function logcosh at 0x7f7b088b0cb0>,16,8,Adam
10,0.015105504345378488,0.0021168552,0.01390528495982346,0.0034988532,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,4096,0.2,0.1,10,<function binary_crossentropy at 0x7f7b088b0e60>,128,64,SGD
8,0.0036515276676184487,0.72375333,0.004474806926561568,0.65811056,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,512,0.4,0.1,34,<function binary_crossentropy at 0x7f7b088b0e60>,128,32,Adam
3,0.023947084456624204,0.0018599646,0.013085151181207802,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,1024,0.1,0.2,18,<function binary_crossentropy at 0x7f7b088b0e60>,64,8,Adam
34,0.012571086399503089,0.0024801176,0.012231245550220173,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,512,0.1,0.4,34,<function binary_crossentropy at 0x7f7b088b0e60>,16,64,SGD
26,0.018113958624597196,0.0025774946,0.015119355828879348,0.2261869,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,4096,0.30000000000000004,0.5,26,<function binary_crossentropy at 0x7f7b088b0e60>,8,16,SGD
4,0.02773155910736456,0.003845781,0.037957149558016504,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,16,0.4,0.4,10,<function binary_crossentropy at 0x7f7b088b0e60>,128,32,RMSprop
13,0.00035979302253178966,0.634596,0.0003225025973336732,0.61904824,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,64,0.4,0.1,26,<function logcosh at 0x7f7b088b0cb0>,8,128,RMSprop
25,0.005165226886845483,0.7007444,0.00592299929061798,0.63748467,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,64,0.4,0.1,34,<function binary_crossentropy at 0x7f7b088b0e60>,16,32,RMSprop
18,0.004387382753097427,0.7096961,0.00404442145997409,0.6691518,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,1024,0.2,0.5,18,<function binary_crossentropy at 0x7f7b088b0e60>,128,32,Adam
34,0.0007479455065582291,0.0022871278,0.0007500589130263501,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,16,0.2,0.30000000000000004,34,<function logcosh at 0x7f7b088b0cb0>,32,128,SGD
30,0.005039671560801844,0.6657579,0.005131643884601691,0.646034,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,2048,0.2,0.5,34,<function binary_crossentropy at 0x7f7b088b0e60>,64,32,RMSprop
3,0.027255035786366115,0.0017626117,0.029821974374753864,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,16,0.5,0.2,26,<function binary_crossentropy at 0x7f7b088b0e60>,16,128,RMSprop
12,0.0051814286983392285,0.62372655,0.005072412484486853,0.65999925,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,128,0.4,0.4,18,<function binary_crossentropy at 0x7f7b088b0e60>,8,16,Adam
10,0.0005557240335274215,0.40054327,0.0005273364448758672,0.66318893,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,512,0.4,0.1,10,<function logcosh at 0x7f7b088b0cb0>,16,32,Adam
18,0.0003940958175669542,0.6814931,0.0004094637958059579,0.64587873,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,512,0.30000000000000004,0.1,18,<function logcosh at 0x7f7b088b0cb0>,128,16,RMSprop
34,0.011012338907428178,0.30782825,0.01115614149885608,0.285287,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,128,0.1,0.30000000000000004,34,<function binary_crossentropy at 0x7f7b088b0e60>,8,8,SGD
25,0.005171146823446421,0.65094346,0.004325203345016085,0.67008156,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,2048,0.1,0.4,34,<function binary_crossentropy at 0x7f7b088b0e60>,8,16,Adam
10,0.0002849127110158257,0.71200716,0.00028454589344450445,0.6623925,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,128,0.2,0.2,10,<function logcosh at 0x7f7b088b0cb0>,16,8,Adam
10,0.0003673045692991193,0.57047504,0.0003011828529360202,0.64983034,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,1024,0.2,0.4,10,<function logcosh at 0x7f7b088b0cb0>,16,128,Adam
29,0.00028286977051631426,0.73224914,0.00031312864609120883,0.6742522,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,32,0.1,0.5,34,<function logcosh at 0x7f7b088b0cb0>,64,8,Adam
42,0.0009572111616214519,0.3366803,0.000954233451347163,0.53187585,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,512,0.30000000000000004,0.2,42,<function logcosh at 0x7f7b088b0cb0>,8,32,SGD
18,0.009398738766575923,0.3867604,0.009178783698603145,0.5257457,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,4096,0.4,0.2,18,<function binary_crossentropy at 0x7f7b088b0e60>,32,128,RMSprop
18,0.001284977655445647,0.58420193,0.0012682029513234687,0.62203544,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,512,0.2,0.30000000000000004,18,<function logcosh at 0x7f7b088b0cb0>,8,128,SGD
3,0.0007757252817452346,0.002120561,0.000750079951017494,0.0017321488,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,512,0.1,0.2,18,<function logcosh at 0x7f7b088b0cb0>,8,128,Adam
34,0.012326168888259435,0.008073666,0.011987496793295225,0.1374787,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,1024,0.2,0.4,34,<function binary_crossentropy at 0x7f7b088b0e60>,8,16,SGD
10,0.012563199647950237,0.0021812902,0.012356449029111732,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,128,0.4,0.30000000000000004,10,<function binary_crossentropy at 0x7f7b088b0e60>,32,64,SGD
34,0.0012123306362942644,0.003242291,0.0009925723659651871,0.36214668,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,2048,0.2,0.30000000000000004,34,<function logcosh at 0x7f7b088b0cb0>,64,32,SGD
16,0.005752196824555813,0.6039257,0.006322947865354858,0.60289603,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,64,0.2,0.30000000000000004,42,<function binary_crossentropy at 0x7f7b088b0e60>,8,64,RMSprop
17,0.0004478154231231491,0.4597163,0.0003837668697788752,0.66725266,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,512,0.4,0.1,18,<function logcosh at 0x7f7b088b0cb0>,16,64,Adam
34,0.005436299625010031,0.6164527,0.005941407911570226,0.6329918,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,2048,0.5,0.5,34,<function binary_crossentropy at 0x7f7b088b0e60>,32,128,RMSprop
18,0.01034052748627931,0.46912858,0.010464510459366878,0.42164314,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,16,0.4,0.1,18,<function binary_crossentropy at 0x7f7b088b0e60>,128,16,SGD
18,0.0010196465409124506,0.0029608612,0.0009836861666382324,0.20037505,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,512,0.1,0.1,18,<function logcosh at 0x7f7b088b0cb0>,128,32,SGD
12,0.004731682992568665,0.6692292,0.004906104144922157,0.65064377,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,128,0.1,0.1,42,<function binary_crossentropy at 0x7f7b088b0e60>,8,16,RMSprop
26,0.010531537386199469,0.36812282,0.010633518612788233,0.37935275,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,32,0.5,0.2,26,<function binary_crossentropy at 0x7f7b088b0e60>,16,32,SGD
42,0.008043408922789179,0.69936496,0.008356774513634101,0.65169585,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,16,0.1,0.4,42,<function binary_crossentropy at 0x7f7b088b0e60>,128,8,SGD
42,0.0007496689692966027,0.0019618713,0.0007500712725628084,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,1024,0.30000000000000004,0.30000000000000004,42,<function logcosh at 0x7f7b088b0cb0>,16,16,Adam
4,0.009366718256260809,0.67553145,0.016062190320143464,0.54548335,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,16,0.1,0.2,10,<function binary_crossentropy at 0x7f7b088b0e60>,64,32,RMSprop
13,0.007393022077171454,0.3553747,0.006744163892522377,0.6400498,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,512,0.4,0.2,26,<function binary_crossentropy at 0x7f7b088b0e60>,8,128,Adam
34,0.0007633652748613554,0.0050225337,0.0007618715750386212,0.15155697,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,64,0.4,0.1,34,<function logcosh at 0x7f7b088b0cb0>,16,16,SGD
6,0.000757252040310652,0.0019726465,0.0007509756623436776,0.0017321488,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,4096,0.2,0.1,10,<function logcosh at 0x7f7b088b0cb0>,8,32,RMSprop
26,0.014568776691732748,0.36481446,0.014540032813436464,0.30443525,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,2048,0.1,0.1,26,<function binary_crossentropy at 0x7f7b088b0e60>,8,64,SGD
3,0.0008848658414509161,0.0018220184,0.0007513672902728712,0.0017321488,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,2048,0.2,0.5,10,<function logcosh at 0x7f7b088b0cb0>,16,16,RMSprop
8,0.014076184894115924,0.0021733153,0.012541084168202316,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,4096,0.30000000000000004,0.4,34,<function binary_crossentropy at 0x7f7b088b0e60>,8,64,Adam
10,0.0005932238271116787,0.5152292,0.0005866630705507871,0.6600817,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,512,0.1,0.5,10,<function logcosh at 0x7f7b088b0cb0>,8,128,RMSprop
12,0.0002921454735354846,0.65635973,0.00031977638258920784,0.629828,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,64,0.2,0.2,26,<function logcosh at 0x7f7b088b0cb0>,16,8,RMSprop
42,0.0012056513636427863,0.45687556,0.0012016645546854107,0.42148662,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,1024,0.1,0.2,42,<function logcosh at 0x7f7b088b0cb0>,8,128,SGD
10,0.003957749401667135,0.726353,0.004620831905293788,0.66295594,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,32,0.1,0.1,34,<function binary_crossentropy at 0x7f7b088b0e60>,64,8,Adam
2,0.0007487538325906419,0.001720963,0.0007513731314504409,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,16,0.30000000000000004,0.2,18,<function logcosh at 0x7f7b088b0cb0>,16,16,Adam
42,0.00787420722945667,0.7054658,0.008214188755648959,0.6467064,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,16,0.2,0.2,42,<function binary_crossentropy at 0x7f7b088b0e60>,64,32,SGD
2,0.0007494619766343346,0.001766862,0.0007513718263955192,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,32,0.30000000000000004,0.2,18,<function logcosh at 0x7f7b088b0cb0>,8,16,Adam
20,0.0002628624264638709,0.68549323,0.0002900401971947989,0.6481516,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,512,0.4,0.2,26,<function logcosh at 0x7f7b088b0cb0>,16,128,RMSprop
4,0.0007575011780626316,0.0020012097,0.000750153273805194,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,128,0.4,0.4,10,<function logcosh at 0x7f7b088b0cb0>,8,16,Adam
26,0.0007504520262156628,0.27105445,0.0007534467654219918,0.2549966,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,16,0.2,0.1,26,<function logcosh at 0x7f7b088b0cb0>,16,128,SGD
34,0.00044072863093319706,0.5376602,0.00034543642612256797,0.6666254,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,2048,0.4,0.5,34,<function logcosh at 0x7f7b088b0cb0>,8,64,Adam
5,0.0007668876802421123,0.00181253,0.0007513167550060959,0.0017321488,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,4096,0.30000000000000004,0.5,26,<function logcosh at 0x7f7b088b0cb0>,8,32,RMSprop
4,0.0007480853931859017,0.03983967,0.0007495481653791294,0.0017321488,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,64,0.2,0.5,10,<function logcosh at 0x7f7b088b0cb0>,8,8,Adam
2,0.000748684950484893,0.001876224,0.0007513729964439288,0.0017321488,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,512,0.4,0.30000000000000004,18,<function logcosh at 0x7f7b088b0cb0>,16,16,RMSprop
10,0.012558466716482286,0.005116742,0.0120747120244242,0.0017321488,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,64,0.5,0.5,10,<function binary_crossentropy at 0x7f7b088b0e60>,32,16,SGD
26,0.011736121062529872,0.08601309,0.011605629979479063,0.15681028,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,64,0.2,0.5,26,<function binary_crossentropy at 0x7f7b088b0e60>,128,128,SGD
8,0.0007472250782794311,0.0023385028,0.0007496672059520957,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,4096,0.1,0.2,10,<function logcosh at 0x7f7b088b0cb0>,16,16,RMSprop
9,0.0007593902385459448,0.0019004807,0.0007503099228620129,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,4096,0.5,0.4,18,<function logcosh at 0x7f7b088b0cb0>,8,8,RMSprop
10,0.0016877488654608907,0.001966558,0.0012187530950056064,0.19587286,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,2048,0.2,0.4,10,<function logcosh at 0x7f7b088b0cb0>,8,128,SGD
14,0.000280200083726716,0.68244123,0.0002901634074233881,0.6517266,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,512,0.4,0.4,18,<function logcosh at 0x7f7b088b0cb0>,128,128,Adam
9,0.0008119844799068919,0.0019953218,0.0007500138180445934,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,64,0.5,0.5,10,<function logcosh at 0x7f7b088b0cb0>,128,32,SGD
34,0.00045690892680203807,0.52124393,0.00035843828114767907,0.6617016,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,1024,0.30000000000000004,0.30000000000000004,34,<function logcosh at 0x7f7b088b0cb0>,16,16,Adam
18,0.0009441918062469135,0.0016253679,0.0008900010175685805,0.0154450415,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,1024,0.2,0.2,18,<function logcosh at 0x7f7b088b0cb0>,32,128,SGD
17,0.007174889892101275,0.50342256,0.007148698415390654,0.61627406,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,2048,0.2,0.4,18,<function binary_crossentropy at 0x7f7b088b0e60>,16,128,RMSprop
10,0.005857666633362602,0.605449,0.006666593364869023,0.60782933,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,128,0.4,0.30000000000000004,34,<function binary_crossentropy at 0x7f7b088b0e60>,128,64,RMSprop
19,0.0047559668754570215,0.65557337,0.004622182823065875,0.6528722,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,512,0.5,0.5,34,<function binary_crossentropy at 0x7f7b088b0e60>,128,128,Adam
20,0.006232168179846549,0.53041816,0.0066171314268688025,0.5964521,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,64,0.4,0.30000000000000004,42,<function binary_crossentropy at 0x7f7b088b0e60>,8,64,RMSprop
42,0.00026073877014686457,0.70491993,0.000285618450984174,0.6476615,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,2048,0.5,0.30000000000000004,42,<function logcosh at 0x7f7b088b0cb0>,32,128,RMSprop
3,0.0038919181275489092,0.700031,0.004828359777187103,0.65302396,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,32,0.30000000000000004,0.2,10,<function binary_crossentropy at 0x7f7b088b0e60>,32,32,Adam
25,0.0044004584715861645,0.67497045,0.0044714952487691535,0.6606811,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,4096,0.5,0.2,26,<function binary_crossentropy at 0x7f7b088b0e60>,32,32,RMSprop
26,0.0007861515418197551,0.0025034184,0.0007664179941322977,0.24927746,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,128,0.1,0.4,26,<function logcosh at 0x7f7b088b0cb0>,128,32,SGD
6,0.003971314791115092,0.7076241,0.004405038818214511,0.6654542,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,16,0.2,0.2,18,<function binary_crossentropy at 0x7f7b088b0e60>,64,128,Adam
3,0.02452428732689586,0.0020599728,0.013457412855154467,0.0017321488,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,1024,0.4,0.4,10,<function binary_crossentropy at 0x7f7b088b0e60>,16,16,Adam
3,0.0007484990532594686,0.0017240039,0.0007513731314504409,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,32,0.30000000000000004,0.4,10,<function logcosh at 0x7f7b088b0cb0>,128,32,Adam
5,0.0007484798896265117,0.0017247855,0.0007513732610818781,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,64,0.4,0.30000000000000004,34,<function logcosh at 0x7f7b088b0cb0>,32,16,RMSprop
10,0.010558604511375413,0.34456974,0.010636294322532663,0.34067705,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,1024,0.4,0.1,10,<function binary_crossentropy at 0x7f7b088b0e60>,64,8,RMSprop
6,0.0003651725196122755,0.60336435,0.0004105029036915657,0.58413637,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,32,0.4,0.1,10,<function logcosh at 0x7f7b088b0cb0>,64,32,RMSprop
42,0.0008256652180402632,0.0017044651,0.0008001285351259624,0.0015603376,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,1024,0.30000000000000004,0.1,42,<function logcosh at 0x7f7b088b0cb0>,128,64,SGD
18,0.0012856238166001335,0.0018561829,0.0007575027279423974,0.0020268413,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,4096,0.5,0.4,18,<function logcosh at 0x7f7b088b0cb0>,8,8,Adam
7,0.004318273448905111,0.6857085,0.004711994825549829,0.65894437,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,64,0.30000000000000004,0.5,10,<function binary_crossentropy at 0x7f7b088b0e60>,128,32,Adam
34,0.012783673915719279,0.0026856214,0.012297916515144199,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,2048,0.4,0.5,34,<function binary_crossentropy at 0x7f7b088b0e60>,8,64,SGD
12,0.00422254145113398,0.6861404,0.004620142826411564,0.6521515,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,128,0.30000000000000004,0.30000000000000004,42,<function binary_crossentropy at 0x7f7b088b0e60>,64,64,Adam
9,0.004161018683412531,0.70862544,0.004569655756582121,0.6600302,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,16,0.2,0.5,26,<function binary_crossentropy at 0x7f7b088b0e60>,16,8,Adam
6,0.004626604345729219,0.67674553,0.004989059204767311,0.6527924,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,64,0.1,0.2,10,<function binary_crossentropy at 0x7f7b088b0e60>,128,8,Adam
26,0.0006096853426788957,0.7097976,0.0006313001194248038,0.65811265,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,2048,0.5,0.1,26,<function logcosh at 0x7f7b088b0cb0>,128,16,RMSprop
10,0.01219618422451179,0.021228269,0.012018190832194915,0.042778544,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,128,0.2,0.4,10,<function binary_crossentropy at 0x7f7b088b0e60>,8,16,SGD
6,0.0007478861506130747,0.0017707499,0.0007503982770160005,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,4096,0.1,0.1,34,<function logcosh at 0x7f7b088b0cb0>,64,32,RMSprop
34,0.012916469376257523,0.022190318,0.011823488521036419,0.094063595,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,1024,0.2,0.5,34,<function binary_crossentropy at 0x7f7b088b0e60>,128,8,SGD
42,0.0002728211746652199,0.70586175,0.0002873965307451492,0.64840263,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,4096,0.5,0.1,42,<function logcosh at 0x7f7b088b0cb0>,128,128,Adam
42,0.013906386333997826,0.032099873,0.01239533629539816,0.113788016,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,2048,0.5,0.30000000000000004,42,<function binary_crossentropy at 0x7f7b088b0e60>,8,8,SGD
26,0.0008740682849493305,0.48782608,0.0006185295709606152,0.6579883,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,2048,0.2,0.4,26,<function logcosh at 0x7f7b088b0cb0>,16,8,Adam
10,0.0003488766033326409,0.6641346,0.00038648305902546607,0.642309,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,64,0.2,0.1,18,<function logcosh at 0x7f7b088b0cb0>,64,8,RMSprop
18,0.0013506739948972453,0.41620144,0.0013270059866114603,0.51282555,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,512,0.1,0.2,18,<function logcosh at 0x7f7b088b0cb0>,128,16,SGD
26,0.004416094184703182,0.69026303,0.0041935426308197885,0.6613178,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,4096,0.4,0.4,26,<function binary_crossentropy at 0x7f7b088b0e60>,128,64,Adam
34,0.0036483698220132494,0.0058486257,0.002828898381261503,0.028491091,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,4096,0.5,0.5,34,<function logcosh at 0x7f7b088b0cb0>,16,8,SGD
10,0.01226701426112234,0.06763814,0.009994991612919583,0.4623086,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,4096,0.2,0.1,10,<function binary_crossentropy at 0x7f7b088b0e60>,8,8,Adam
38,0.0002938324326159701,0.6922709,0.00035108097067921065,0.64168733,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,512,0.30000000000000004,0.5,42,<function logcosh at 0x7f7b088b0cb0>,64,128,RMSprop
34,0.0012416056558215939,0.11054082,0.0011766855040296264,0.42627326,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,1024,0.5,0.5,34,<function logcosh at 0x7f7b088b0cb0>,8,128,SGD
