round_epochs,loss,PR_AUC,ROC_AUC,val_loss,val_PR_AUC,val_ROC_AUC,activation1,activation2,batch_size,dropout1,dropout2,epochs,losses,neurons1,neurons2,optimizer
64,0.09712298662149084,0.7070329,0.90064657,0.08646899719219962,0.6364158,0.88378763,<function relu at 0x7f7b01ae6440>,<function relu at 0x7f7b01ae6440>,4096,0.30000000000000004,0.1,64,<function logcosh at 0x7f7b044fec20>,32,8,SGD
3,0.666325980373577,0.0041680033,0.6286849,0.6721707896866055,0.6146548,0.93746257,<function relu at 0x7f7b01ae6440>,<function sigmoid at 0x7f7b01ae6560>,4096,0.2,0.5,28,<function binary_crossentropy at 0x7f7b044fedd0>,16,64,RMSprop
29,0.03038283295061137,0.5204123,0.9572026,0.002861136162321488,0.6562133,0.95532095,<function relu at 0x7f7b01ae6440>,<function relu at 0x7f7b01ae6440>,1024,0.5,0.5,64,<function logcosh at 0x7f7b044fec20>,32,8,RMSprop
49,0.23270950548373084,0.6251679,0.9540223,0.13370957145067353,0.6545475,0.9513151,<function sigmoid at 0x7f7b01ae6560>,<function sigmoid at 0x7f7b01ae6560>,2048,0.2,0.4,82,<function binary_crossentropy at 0x7f7b044fedd0>,32,16,RMSprop
10,0.1121115200554147,0.5571045,0.92629826,0.10435881327758834,0.6167454,0.92004704,<function relu at 0x7f7b01ae6440>,<function relu at 0x7f7b01ae6440>,2048,0.5,0.2,10,<function logcosh at 0x7f7b044fec20>,128,64,SGD
20,0.35023759622479234,0.7164258,0.95865095,0.3356049042314327,0.6779177,0.95439416,<function sigmoid at 0x7f7b01ae6560>,<function sigmoid at 0x7f7b01ae6560>,512,0.30000000000000004,0.30000000000000004,64,<function binary_crossentropy at 0x7f7b044fedd0>,64,64,SGD
13,0.20646865084841787,0.4488383,0.96248853,0.11585294055855427,0.6142921,0.9579795,<function relu at 0x7f7b01ae6440>,<function sigmoid at 0x7f7b01ae6560>,16,0.30000000000000004,0.5,64,<function binary_crossentropy at 0x7f7b044fedd0>,32,8,Adam
2,0.6850908854802704,0.0034283628,0.56278753,0.6402342095630158,0.13402385,0.8026835,<function sigmoid at 0x7f7b01ae6560>,<function sigmoid at 0x7f7b01ae6560>,4096,0.4,0.2,10,<function binary_crossentropy at 0x7f7b044fedd0>,8,16,Adam
17,0.0718964909214876,0.5935049,0.89451396,0.0004360437185305044,0.5833455,0.85796493,<function sigmoid at 0x7f7b01ae6560>,<function relu at 0x7f7b01ae6440>,16,0.2,0.1,64,<function logcosh at 0x7f7b044fec20>,8,128,RMSprop
11,0.026743568658387805,0.4473084,0.95817035,0.009157506993437571,0.5532595,0.9542593,<function sigmoid at 0x7f7b01ae6560>,<function sigmoid at 0x7f7b01ae6560>,16,0.2,0.30000000000000004,46,<function logcosh at 0x7f7b044fec20>,64,8,Adam
8,0.027531336300046165,0.63879704,0.9656119,0.0037517047540837852,0.657339,0.95270634,<function sigmoid at 0x7f7b01ae6560>,<function relu at 0x7f7b01ae6440>,32,0.1,0.5,46,<function logcosh at 0x7f7b044fec20>,16,64,Adam
7,2.3226823541552593,0.052725848,0.8564546,0.007166112785643144,0.6588855,0.9083274,<function relu at 0x7f7b01ae6440>,<function relu at 0x7f7b01ae6440>,64,0.4,0.5,46,<function binary_crossentropy at 0x7f7b044fedd0>,128,32,RMSprop
3,0.04921066574750379,0.0828164,0.9004944,0.16524189673694648,0.031482954,0.93723994,<function relu at 0x7f7b01ae6440>,<function relu at 0x7f7b01ae6440>,16,0.2,0.1,10,<function logcosh at 0x7f7b044fec20>,128,128,Adam
16,0.03683479447808341,0.72443795,0.9696887,0.03285377293154324,0.6556974,0.951583,<function sigmoid at 0x7f7b01ae6560>,<function relu at 0x7f7b01ae6440>,32,0.30000000000000004,0.5,64,<function logcosh at 0x7f7b044fec20>,8,64,SGD
44,0.1257667121904544,0.38761428,0.74891376,0.00052622521925222,0.35990185,0.71613175,<function sigmoid at 0x7f7b01ae6560>,<function relu at 0x7f7b01ae6440>,16,0.5,0.2,82,<function logcosh at 0x7f7b044fec20>,32,16,RMSprop
25,0.23041860210461668,0.7244326,0.97618264,0.22880070387048182,0.6673791,0.9538351,<function sigmoid at 0x7f7b01ae6560>,<function relu at 0x7f7b01ae6440>,128,0.30000000000000004,0.4,46,<function binary_crossentropy at 0x7f7b044fedd0>,32,128,SGD
28,0.024175351884434267,0.6930082,0.973147,0.01192101427165099,0.6679286,0.960683,<function relu at 0x7f7b01ae6440>,<function sigmoid at 0x7f7b01ae6560>,16,0.30000000000000004,0.2,82,<function logcosh at 0x7f7b044fec20>,128,128,SGD
5,0.054034637339841145,0.61640275,0.9118682,0.023393621283473897,0.6678426,0.9470679,<function sigmoid at 0x7f7b01ae6560>,<function relu at 0x7f7b01ae6440>,64,0.5,0.30000000000000004,10,<function logcosh at 0x7f7b044fec20>,32,32,Adam
