round_epochs,loss,PR_AUC,ROC_AUC,val_loss,val_PR_AUC,val_ROC_AUC,activation1,activation2,batch_size,dropout1,dropout2,epochs,losses,neurons1,neurons2,optimizer
14,0.04382740841799403,0.50214183,0.93918216,0.010982427495915055,0.6681794,0.95010304,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,512,0.5,0.1,46,<function logcosh at 0x7fdf83cefc20>,64,128,RMSprop
12,0.2433362637652532,0.6974608,0.9640458,0.09784922987146284,0.6397121,0.953986,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,16,0.2,0.4,82,<function binary_crossentropy at 0x7fdf83cefdd0>,8,8,Adam
52,0.026802563890899987,0.53821754,0.9687955,0.005689922350261196,0.6492063,0.9528999,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,4096,0.30000000000000004,0.5,64,<function logcosh at 0x7fdf83cefc20>,16,16,RMSprop
60,0.239158918871698,0.6725242,0.9536644,0.13479934715094427,0.6775116,0.95508325,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,4096,0.4,0.2,82,<function binary_crossentropy at 0x7fdf83cefdd0>,32,32,Adam
11,2.0165964844295594,0.56830925,0.886899,0.011272539058452987,0.6322826,0.878219,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,32,0.30000000000000004,0.4,82,<function binary_crossentropy at 0x7fdf83cefdd0>,16,64,RMSprop
4,2.4838327767033164,0.0022200001,0.56336576,0.013104835369149843,0.08545899,0.8064485,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,16,0.30000000000000004,0.2,28,<function binary_crossentropy at 0x7fdf83cefdd0>,8,16,RMSprop
9,0.03726824407067429,0.69246316,0.9642915,0.01928164324527018,0.6483826,0.95438975,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,16,0.1,0.30000000000000004,28,<function logcosh at 0x7fdf83cefc20>,64,64,SGD
2,0.12245114943232827,0.0017033839,0.4801865,0.10811852726216366,0.024320085,0.52430356,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,4096,0.2,0.2,10,<function logcosh at 0x7fdf83cefc20>,128,16,SGD
39,0.31203611744900545,0.54170775,0.94225943,0.21143335931110088,0.6666716,0.9500317,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,2048,0.5,0.2,46,<function binary_crossentropy at 0x7fdf83cefdd0>,8,32,Adam
32,0.4987969544445664,0.5149959,0.91965014,0.4859196509717158,0.67108434,0.9455534,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,4096,0.5,0.2,82,<function binary_crossentropy at 0x7fdf83cefdd0>,8,128,SGD
