round_epochs,loss,mean_absolute_error,r_squared,val_loss,val_mean_absolute_error,val_r_squared,activation1,activation2,batch_size,dropout,epochs,loss,neurons1,neurons2,optimizer
7,1.4393857884346377,1.4393858,0.8027414,0.3301417631839253,0.33014175,0.9897808,<function relu at 0x7fd0526c55f0>,<function linear at 0x7fd0526c58c0>,32,0.5,20,mae,128,64,RMSprop
15,0.9046622753345531,0.90466225,0.92531574,0.46839874754102717,0.46839875,0.9798422,None,<function linear at 0x7fd0526c58c0>,128,0.1,20,mae,128,32,SGD
27,0.8565140771501847,0.85651404,0.9305067,0.3926120220134813,0.39261198,0.98573834,<function relu at 0x7fd0526c55f0>,<function linear at 0x7fd0526c58c0>,32,0.4,72,mae,64,256,Adam
28,1.0838458578499623,0.75413567,0.9393667,0.31622951334809074,0.4767587,0.97941715,None,None,16,0.4,98,mse,64,128,SGD
10,0.9084550800012066,0.90845513,0.9236785,0.35247601047326427,0.35247603,0.9883887,<function relu at 0x7fd0526c55f0>,None,32,0.1,98,mae,256,64,RMSprop
8,1.6340173225063102,0.9473103,0.9145786,0.49886489889960794,0.6145033,0.9704004,<function relu at 0x7fd0526c55f0>,<function linear at 0x7fd0526c58c0>,64,0.1,46,mse,256,32,SGD
7,1.0343820048753642,1.034382,0.90332544,0.7175481751325706,0.7175482,0.9550908,None,<function linear at 0x7fd0526c58c0>,64,0.4,46,mae,128,128,RMSprop
22,0.7835691405161647,0.78356916,0.9355711,0.8310968691554619,0.8310967,0.94639695,<function relu at 0x7fd0526c55f0>,<function linear at 0x7fd0526c58c0>,16,0.2,72,mae,32,128,SGD
28,0.8886249311350481,0.88862526,0.9057468,0.6711575695677212,0.6711575,0.9580061,<function relu at 0x7fd0526c55f0>,<function linear at 0x7fd0526c58c0>,8,0.4,124,mae,32,128,SGD
26,2.582622893995102,1.2159002,0.8539698,0.6102878153996866,0.71167564,0.95874995,<function relu at 0x7fd0526c55f0>,<function linear at 0x7fd0526c58c0>,16,0.5,124,mse,64,128,RMSprop
3,1.6892179056584986,0.98282963,0.9028741,0.45219766373828085,0.5864472,0.9711633,None,<function linear at 0x7fd0526c58c0>,16,0.5,20,mse,256,128,Adam
14,1.341852087202064,0.86735857,0.92843723,0.9796627964446023,0.92125195,0.93986076,None,<function linear at 0x7fd0526c58c0>,32,0.5,124,mse,256,128,SGD
3,3.025540959541832,1.3313042,0.8417764,0.4773520126299718,0.5546578,0.97144306,None,None,64,0.4,20,mse,64,32,SGD
22,0.9282285043301474,0.92822844,0.920219,0.3852091413453793,0.38520914,0.98629767,None,<function linear at 0x7fd0526c58c0>,64,0.5,46,mae,64,128,Adam
18,2.080357615223772,1.0897928,0.85814357,0.13140705444810083,0.29173282,0.9907465,None,None,8,0.5,72,mse,128,64,RMSprop
20,1.6990017919241118,1.6990023,0.6917451,0.32677850517408574,0.3267785,0.9886965,<function relu at 0x7fd0526c55f0>,None,16,0.5,124,mae,32,32,Adam
11,0.9574869065288774,0.9574872,0.91442406,0.3534826616132232,0.35348266,0.9880505,<function relu at 0x7fd0526c55f0>,<function linear at 0x7fd0526c58c0>,32,0.30000000000000004,72,mae,32,128,RMSprop
12,1.1049904699948403,1.1049905,0.8878383,0.44636083745794963,0.44636086,0.9814778,None,None,32,0.30000000000000004,72,mae,256,32,SGD
36,0.9316205948060402,0.93162066,0.9197501,0.32543774389790087,0.32543772,0.98979086,<function relu at 0x7fd0526c55f0>,<function linear at 0x7fd0526c58c0>,128,0.5,124,mae,64,256,Adam
11,1.364725269863826,0.8655417,0.9117081,0.2065741983883537,0.34988788,0.98553765,<function relu at 0x7fd0526c55f0>,None,8,0.5,72,mse,64,256,SGD
12,1.146462530630741,1.1464627,0.86818385,0.8215593988954617,0.82155937,0.94079924,<function relu at 0x7fd0526c55f0>,None,16,0.2,98,mae,64,32,RMSprop
11,1.0408081874390394,0.73959005,0.94445544,0.21715855154442196,0.38077968,0.9868378,None,<function linear at 0x7fd0526c58c0>,32,0.2,46,mse,32,128,Adam
7,2.4642786306279305,1.1993146,0.873214,0.3932189132101649,0.520459,0.97654605,None,None,128,0.30000000000000004,20,mse,32,32,Adam
44,0.8438905519484665,0.84389055,0.9306457,0.5409710319801055,0.54097104,0.9759459,<function relu at 0x7fd0526c55f0>,<function linear at 0x7fd0526c58c0>,32,0.30000000000000004,98,mae,64,128,SGD
11,1.1362204521363626,1.1362206,0.8781861,0.3887050229189896,0.38870504,0.98540014,None,None,32,0.5,46,mae,128,64,Adam
7,1.0652187591492877,1.0652187,0.8982273,0.5403783258815921,0.54037833,0.97657686,<function relu at 0x7fd0526c55f0>,<function linear at 0x7fd0526c58c0>,64,0.30000000000000004,20,mae,256,128,Adam
37,1.0209320118560743,1.020932,0.89798117,1.2362811487361487,1.2362812,0.8847272,None,<function linear at 0x7fd0526c58c0>,16,0.30000000000000004,124,mae,256,32,RMSprop
20,1.215158276026081,0.8209568,0.93065625,0.1643996143179607,0.3296955,0.98941505,None,None,16,0.4,124,mse,64,128,Adam
8,0.8505763842252678,0.85057646,0.932635,0.743072803214226,0.74307287,0.9588247,None,<function linear at 0x7fd0526c58c0>,64,0.4,46,mae,32,256,RMSprop
52,0.8051587051006572,0.80515873,0.9359049,0.6103148192638199,0.61031485,0.971972,None,<function linear at 0x7fd0526c58c0>,32,0.1,124,mae,64,32,RMSprop
18,0.9347751953522971,0.93477523,0.9194544,0.3233699680181981,0.32336995,0.9900119,<function relu at 0x7fd0526c55f0>,<function linear at 0x7fd0526c58c0>,128,0.1,46,mae,64,32,Adam
28,0.9522137578207118,0.95221364,0.91818607,0.7972407732537314,0.7972408,0.95539427,None,None,128,0.2,98,mae,32,32,RMSprop
15,1.7124959477132615,1.0057238,0.9083673,0.16473089023987272,0.3333698,0.9899886,None,None,32,0.2,46,mse,128,32,RMSprop
43,2.1581752923103186,1.1125295,0.88946986,0.5146029463067281,0.5913739,0.9701748,None,<function linear at 0x7fd0526c58c0>,128,0.5,124,mse,32,64,RMSprop
8,0.8777570038452505,0.8777571,0.93111587,0.29188692865737675,0.29188693,0.991324,None,<function linear at 0x7fd0526c58c0>,32,0.2,20,mae,256,256,RMSprop
